,Coefficient,MAE,EVS
Unnamed: 0,0.4229560240351423,5.300191141938867,0.9298965548848226
Unnamed: 0.1,0.4229560240351402,5.300191141938867,0.9298965548848226
trams,0.14606946972575746,5.300191141938867,0.9298965548848226
fastEight,0.0035260222402287624,5.300191141938867,0.9298965548848226
fastSixes,0.09357600094328015,5.300191141938867,0.9298965548848226
fastQuads,0.9555555397358441,5.300191141938867,0.9298965548848226
quad,0.9572241770922071,5.300191141938867,0.9298965548848226
triple,1.349241936662154,5.300191141938867,0.9298965548848226
double,0.19003392293461163,5.300191141938867,0.9298965548848226
surface,1.1868081351801187,5.300191141938867,0.9298965548848226
total_chairs,0.35527862737238447,5.300191141938867,0.9298965548848226
Runs,0.4797317064568967,5.300191141938867,0.9298965548848226
TerrainParks,0.11212291069524624,5.300191141938867,0.9298965548848226
LongestRun_mi,0.10271797899780713,5.300191141938867,0.9298965548848226
SkiableTerrain_ac,0.2909045334038795,5.300191141938867,0.9298965548848226
Snow Making_ac,0.8112637072706188,5.300191141938867,0.9298965548848226
daysOpenLastYear,1.3041281595272092,5.300191141938867,0.9298965548848226
yearsOpen,0.19723759479182726,5.300191141938867,0.9298965548848226
averageSnowfall,0.7786010216133241,5.300191141938867,0.9298965548848226
AdultWeekday,20.18606828984438,5.300191141938867,0.9298965548848226
projectedDaysOpen,0.3521454325564824,5.300191141938867,0.9298965548848226
NightSkiing_ac,0.20490696318367055,5.300191141938867,0.9298965548848226
clusters,2.0537851105609413,5.300191141938867,0.9298965548848226
